,Entity,Code,Year,Risk,Number of cases
77,World,OWID_WRL,1992,Drug use,269332
78,World,OWID_WRL,1992,Low bone mineral density,216471
79,World,OWID_WRL,1992,Vitamin A deficiency,198337
80,World,OWID_WRL,1992,Child stunting,796503
81,World,OWID_WRL,1992,Discontinued breastfeeding,30503
82,World,OWID_WRL,1992,Non-exclusive breastfeeding,478094
83,World,OWID_WRL,1992,Iron deficiency,72503
84,World,OWID_WRL,1993,Outdoor air pollution,2436824
85,World,OWID_WRL,1993,High systolic blood pressure,7240558
86,World,OWID_WRL,1993,Diet high in sodium,1372510
87,World,OWID_WRL,1993,Diet low in whole grains,1271470
88,World,OWID_WRL,1993,Alcohol use,1787249
89,World,OWID_WRL,1993,Diet low in fruits,844231
90,World,OWID_WRL,1993,Unsafe water source,2361330
91,World,OWID_WRL,1993,Secondhand smoke,1183326
92,World,OWID_WRL,1993,Low birth weight,2931247
93,World,OWID_WRL,1993,Child wasting,3158371
94,World,OWID_WRL,1993,Unsafe sex,680690
95,World,OWID_WRL,1993,Diet low in nuts and seeds,460965
96,World,OWID_WRL,1993,Household air pollution from solid fuels,4241702
97,World,OWID_WRL,1993,Diet low in vegetables,465335
98,World,OWID_WRL,1993,Low physical activity,491233
99,World,OWID_WRL,1993,Smoking,6257467
100,World,OWID_WRL,1993,High fasting plasma glucose,3180096
101,World,OWID_WRL,1993,Air pollution,6556725
102,World,OWID_WRL,1993,High body-mass index,2454396
103,World,OWID_WRL,1993,Unsafe sanitation,1769353
104,World,OWID_WRL,1993,No access to handwashing facility,1162488
105,World,OWID_WRL,1993,Drug use,289135
106,World,OWID_WRL,1993,Low bone mineral density,223118
107,World,OWID_WRL,1993,Vitamin A deficiency,189703
108,World,OWID_WRL,1993,Child stunting,771676
109,World,OWID_WRL,1993,Discontinued breastfeeding,28905
110,World,OWID_WRL,1993,Non-exclusive breastfeeding,461114
111,World,OWID_WRL,1993,Iron deficiency,70802
112,World,OWID_WRL,1994,Outdoor air pollution,2500765
113,World,OWID_WRL,1994,High systolic blood pressure,7378238
114,World,OWID_WRL,1994,Diet high in sodium,1383664
115,World,OWID_WRL,1994,Diet low in whole grains,1301409
116,World,OWID_WRL,1994,Alcohol use,1841377
117,World,OWID_WRL,1994,Diet low in fruits,859534
118,World,OWID_WRL,1994,Unsafe water source,2310205
119,World,OWID_WRL,1994,Secondhand smoke,1184536
120,World,OWID_WRL,1994,Low birth weight,2893465
121,World,OWID_WRL,1994,Child wasting,3074159
122,World,OWID_WRL,1994,Unsafe sex,787180
123,World,OWID_WRL,1994,Diet low in nuts and seeds,470753
124,World,OWID_WRL,1994,Household air pollution from solid fuels,4180438
125,World,OWID_WRL,1994,Diet low in vegetables,464594
126,World,OWID_WRL,1994,Low physical activity,503301
127,World,OWID_WRL,1994,Smoking,6363333
128,World,OWID_WRL,1994,High fasting plasma glucose,3267456
129,World,OWID_WRL,1994,Air pollution,6557387
130,World,OWID_WRL,1994,High body-mass index,2547539
131,World,OWID_WRL,1994,Unsafe sanitation,1725089
132,World,OWID_WRL,1994,No access to handwashing facility,1141067
133,World,OWID_WRL,1994,Drug use,309634
134,World,OWID_WRL,1994,Low bone mineral density,227825
135,World,OWID_WRL,1994,Vitamin A deficiency,183165
136,World,OWID_WRL,1994,Child stunting,750689
137,World,OWID_WRL,1994,Discontinued breastfeeding,27594
138,World,OWID_WRL,1994,Non-exclusive breastfeeding,445705
139,World,OWID_WRL,1994,Iron deficiency,70291
140,World,OWID_WRL,1995,Outdoor air pollution,2544508
141,World,OWID_WRL,1995,High systolic blood pressure,7444400
142,World,OWID_WRL,1995,Diet high in sodium,1388701
143,World,OWID_WRL,1995,Diet low in whole grains,1311140
144,World,OWID_WRL,1995,Alcohol use,1866761
145,World,OWID_WRL,1995,Diet low in fruits,865100
146,World,OWID_WRL,1995,Unsafe water source,2253179
147,World,OWID_WRL,1995,Secondhand smoke,1178299
148,World,OWID_WRL,1995,Low birth weight,2861230
149,World,OWID_WRL,1995,Child wasting,3077100
150,World,OWID_WRL,1995,Unsafe sex,895138
151,World,OWID_WRL,1995,Diet low in nuts and seeds,469698
152,World,OWID_WRL,1995,Household air pollution from solid fuels,4115012
153,World,OWID_WRL,1995,Diet low in vegetables,461745
154,World,OWID_WRL,1995,Low physical activity,512355
155,World,OWID_WRL,1995,Smoking,6424367
156,World,OWID_WRL,1995,High fasting plasma glucose,3337764
157,World,OWID_WRL,1995,Air pollution,6537356
158,World,OWID_WRL,1995,High body-mass index,2602238
159,World,OWID_WRL,1995,Unsafe sanitation,1678060
160,World,OWID_WRL,1995,No access to handwashing facility,1118113
161,World,OWID_WRL,1995,Drug use,326356
162,World,OWID_WRL,1995,Low bone mineral density,231800
163,World,OWID_WRL,1995,Vitamin A deficiency,177588
164,World,OWID_WRL,1995,Child stunting,729488
165,World,OWID_WRL,1995,Discontinued breastfeeding,26246
166,World,OWID_WRL,1995,Non-exclusive breastfeeding,427444
167,World,OWID_WRL,1995,Iron deficiency,69321
168,World,OWID_WRL,1996,Outdoor air pollution,2587941
169,World,OWID_WRL,1996,High systolic blood pressure,7499709
170,World,OWID_WRL,1996,Diet high in sodium,1391525
171,World,OWID_WRL,1996,Diet low in whole grains,1313663
172,World,OWID_WRL,1996,Alcohol use,1870993
173,World,OWID_WRL,1996,Diet low in fruits,870447
174,World,OWID_WRL,1996,Unsafe water source,2203646
175,World,OWID_WRL,1996,Secondhand smoke,1171342
176,World,OWID_WRL,1996,Low birth weight,2817587
177,World,OWID_WRL,1996,Child wasting,2953080
178,World,OWID_WRL,1996,Unsafe sex,993969
179,World,OWID_WRL,1996,Diet low in nuts and seeds,466515
180,World,OWID_WRL,1996,Household air pollution from solid fuels,4061430
181,World,OWID_WRL,1996,Diet low in vegetables,458994
182,World,OWID_WRL,1996,Low physical activity,518808
183,World,OWID_WRL,1996,Smoking,6455375
184,World,OWID_WRL,1996,High fasting plasma glucose,3410876
185,World,OWID_WRL,1996,Air pollution,6528219
186,World,OWID_WRL,1996,High body-mass index,2646781
187,World,OWID_WRL,1996,Unsafe sanitation,1635097
188,World,OWID_WRL,1996,No access to handwashing facility,1095440
189,World,OWID_WRL,1996,Drug use,337405
190,World,OWID_WRL,1996,Low bone mineral density,236374
191,World,OWID_WRL,1996,Vitamin A deficiency,171320
192,World,OWID_WRL,1996,Child stunting,703713
193,World,OWID_WRL,1996,Discontinued breastfeeding,25050
194,World,OWID_WRL,1996,Non-exclusive breastfeeding,409782
195,World,OWID_WRL,1996,Iron deficiency,68509
196,World,OWID_WRL,1997,Outdoor air pollution,2657868
197,World,OWID_WRL,1997,High systolic blood pressure,7579361
198,World,OWID_WRL,1997,Diet high in sodium,1394395
199,World,OWID_WRL,1997,Diet low in whole grains,1320627
200,World,OWID_WRL,1997,Alcohol use,1876174
201,World,OWID_WRL,1997,Diet low in fruits,879645
202,World,OWID_WRL,1997,Unsafe water source,2171865
203,World,OWID_WRL,1997,Secondhand smoke,1165820
204,World,OWID_WRL,1997,Low birth weight,2782771
205,World,OWID_WRL,1997,Child wasting,2853073
206,World,OWID_WRL,1997,Unsafe sex,1087931
207,World,OWID_WRL,1997,Diet low in nuts and seeds,466458
208,World,OWID_WRL,1997,Household air pollution from solid fuels,4017097
209,World,OWID_WRL,1997,Diet low in vegetables,457326
210,World,OWID_WRL,1997,Low physical activity,526469
211,World,OWID_WRL,1997,Smoking,6499984
212,World,OWID_WRL,1997,High fasting plasma glucose,3501680
213,World,OWID_WRL,1997,Air pollution,6547192
214,World,OWID_WRL,1997,High body-mass index,2704438
215,World,OWID_WRL,1997,Unsafe sanitation,1605109
216,World,OWID_WRL,1997,No access to handwashing facility,1079871
217,World,OWID_WRL,1997,Drug use,345395
218,World,OWID_WRL,1997,Low bone mineral density,242189
219,World,OWID_WRL,1997,Vitamin A deficiency,164328
220,World,OWID_WRL,1997,Child stunting,678544
221,World,OWID_WRL,1997,Discontinued breastfeeding,24099
222,World,OWID_WRL,1997,Non-exclusive breastfeeding,392772
223,World,OWID_WRL,1997,Iron deficiency,68874
224,World,OWID_WRL,1998,Outdoor air pollution,2718227
225,World,OWID_WRL,1998,High systolic blood pressure,7653805
226,World,OWID_WRL,1998,Diet high in sodium,1397467
227,World,OWID_WRL,1998,Diet low in whole grains,1328165
228,World,OWID_WRL,1998,Alcohol use,1894286
229,World,OWID_WRL,1998,Diet low in fruits,883807
230,World,OWID_WRL,1998,Unsafe water source,2140947
231,World,OWID_WRL,1998,Secondhand smoke,1156210
232,World,OWID_WRL,1998,Low birth weight,2749957
233,World,OWID_WRL,1998,Child wasting,2754508
234,World,OWID_WRL,1998,Unsafe sex,1193919
235,World,OWID_WRL,1998,Diet low in nuts and seeds,463982
236,World,OWID_WRL,1998,Household air pollution from solid fuels,3937041
237,World,OWID_WRL,1998,Diet low in vegetables,453044
238,World,OWID_WRL,1998,Low physical activity,535972
239,World,OWID_WRL,1998,Smoking,6540882
240,World,OWID_WRL,1998,High fasting plasma glucose,3592685
241,World,OWID_WRL,1998,Air pollution,6525727
242,World,OWID_WRL,1998,High body-mass index,2767762
243,World,OWID_WRL,1998,Unsafe sanitation,1576522
244,World,OWID_WRL,1998,No access to handwashing facility,1062523
245,World,OWID_WRL,1998,Drug use,357229
246,World,OWID_WRL,1998,Low bone mineral density,247539
247,World,OWID_WRL,1998,Vitamin A deficiency,158344
248,World,OWID_WRL,1998,Child stunting,653014
249,World,OWID_WRL,1998,Discontinued breastfeeding,23349
250,World,OWID_WRL,1998,Non-exclusive breastfeeding,378472
251,World,OWID_WRL,1998,Iron deficiency,68577
252,World,OWID_WRL,1999,Outdoor air pollution,2809566
253,World,OWID_WRL,1999,High systolic blood pressure,7805180
254,World,OWID_WRL,1999,Diet high in sodium,1418036
255,World,OWID_WRL,1999,Diet low in whole grains,1354556
256,World,OWID_WRL,1999,Alcohol use,1935617
257,World,OWID_WRL,1999,Diet low in fruits,895248
258,World,OWID_WRL,1999,Unsafe water source,2099432
259,World,OWID_WRL,1999,Secondhand smoke,1154278
260,World,OWID_WRL,1999,Low birth weight,2713039
261,World,OWID_WRL,1999,Child wasting,2653961
262,World,OWID_WRL,1999,Unsafe sex,1306272
263,World,OWID_WRL,1999,Diet low in nuts and seeds,469409
264,World,OWID_WRL,1999,Household air pollution from solid fuels,3848916
265,World,OWID_WRL,1999,Diet low in vegetables,451272
266,World,OWID_WRL,1999,Low physical activity,548853
267,World,OWID_WRL,1999,Smoking,6619859
268,World,OWID_WRL,1999,High fasting plasma glucose,3702770
269,World,OWID_WRL,1999,Air pollution,6522139
270,World,OWID_WRL,1999,High body-mass index,2868905
271,World,OWID_WRL,1999,Unsafe sanitation,1539932
272,World,OWID_WRL,1999,No access to handwashing facility,1043004
273,World,OWID_WRL,1999,Drug use,373305
274,World,OWID_WRL,1999,Low bone mineral density,253735
275,World,OWID_WRL,1999,Vitamin A deficiency,153903
276,World,OWID_WRL,1999,Child stunting,626194
277,World,OWID_WRL,1999,Discontinued breastfeeding,22398
278,World,OWID_WRL,1999,Non-exclusive breastfeeding,364995
279,World,OWID_WRL,1999,Iron deficiency,68367
280,World,OWID_WRL,2000,Outdoor air pollution,2878034
281,World,OWID_WRL,2000,High systolic blood pressure,7941549
282,World,OWID_WRL,2000,Diet high in sodium,1445664
283,World,OWID_WRL,2000,Diet low in whole grains,1375420
284,World,OWID_WRL,2000,Alcohol use,1978982
285,World,OWID_WRL,2000,Diet low in fruits,910169
286,World,OWID_WRL,2000,Unsafe water source,2049815
287,World,OWID_WRL,2000,Secondhand smoke,1155066
288,World,OWID_WRL,2000,Low birth weight,2675569
289,World,OWID_WRL,2000,Child wasting,2542085
290,World,OWID_WRL,2000,Unsafe sex,1407331
291,World,OWID_WRL,2000,Diet low in nuts and seeds,474771
292,World,OWID_WRL,2000,Household air pollution from solid fuels,3800556
293,World,OWID_WRL,2000,Diet low in vegetables,451412
294,World,OWID_WRL,2000,Low physical activity,558137
295,World,OWID_WRL,2000,Smoking,6711004
296,World,OWID_WRL,2000,High fasting plasma glucose,3813228
297,World,OWID_WRL,2000,Air pollution,6548091
298,World,OWID_WRL,2000,High body-mass index,2950660
299,World,OWID_WRL,2000,Unsafe sanitation,1496738
300,World,OWID_WRL,2000,No access to handwashing facility,1021163
301,World,OWID_WRL,2000,Drug use,387019
302,World,OWID_WRL,2000,Low bone mineral density,261209
303,World,OWID_WRL,2000,Vitamin A deficiency,146252
304,World,OWID_WRL,2000,Child stunting,596761
305,World,OWID_WRL,2000,Discontinued breastfeeding,20876
306,World,OWID_WRL,2000,Non-exclusive breastfeeding,351716
307,World,OWID_WRL,2000,Iron deficiency,67827
308,World,OWID_WRL,2001,Outdoor air pollution,2943093
309,World,OWID_WRL,2001,High systolic blood pressure,8075036
310,World,OWID_WRL,2001,Diet high in sodium,1466830
311,World,OWID_WRL,2001,Diet low in whole grains,1398632
312,World,OWID_WRL,2001,Alcohol use,2011934
313,World,OWID_WRL,2001,Diet low in fruits,922031
314,World,OWID_WRL,2001,Unsafe water source,1994001
315,World,OWID_WRL,2001,Secondhand smoke,1154457
316,World,OWID_WRL,2001,Low birth weight,2636288
317,World,OWID_WRL,2001,Child wasting,2428393
318,World,OWID_WRL,2001,Unsafe sex,1496096
319,World,OWID_WRL,2001,Diet low in nuts and seeds,481234
320,World,OWID_WRL,2001,Household air pollution from solid fuels,3747985
321,World,OWID_WRL,2001,Diet low in vegetables,452219
322,World,OWID_WRL,2001,Low physical activity,568285
323,World,OWID_WRL,2001,Smoking,6767584
324,World,OWID_WRL,2001,High fasting plasma glucose,3945096
325,World,OWID_WRL,2001,Air pollution,6562169
326,World,OWID_WRL,2001,High body-mass index,3034906
327,World,OWID_WRL,2001,Unsafe sanitation,1447407
328,World,OWID_WRL,2001,No access to handwashing facility,993947
329,World,OWID_WRL,2001,Drug use,392718
330,World,OWID_WRL,2001,Low bone mineral density,269611
331,World,OWID_WRL,2001,Vitamin A deficiency,136990
332,World,OWID_WRL,2001,Child stunting,564423
333,World,OWID_WRL,2001,Discontinued breastfeeding,19328
334,World,OWID_WRL,2001,Non-exclusive breastfeeding,338310
335,World,OWID_WRL,2001,Iron deficiency,66551
336,World,OWID_WRL,2002,Outdoor air pollution,3019163
337,World,OWID_WRL,2002,High systolic blood pressure,8259230
338,World,OWID_WRL,2002,Diet high in sodium,1500028
339,World,OWID_WRL,2002,Diet low in whole grains,1432245
340,World,OWID_WRL,2002,Alcohol use,2062868
341,World,OWID_WRL,2002,Diet low in fruits,936760
342,World,OWID_WRL,2002,Unsafe water source,1934978
343,World,OWID_WRL,2002,Secondhand smoke,1159898
344,World,OWID_WRL,2002,Low birth weight,2607153
345,World,OWID_WRL,2002,Child wasting,2325819
346,World,OWID_WRL,2002,Unsafe sex,1572619
347,World,OWID_WRL,2002,Diet low in nuts and seeds,491068
348,World,OWID_WRL,2002,Household air pollution from solid fuels,3702531
349,World,OWID_WRL,2002,Diet low in vegetables,454406
350,World,OWID_WRL,2002,Low physical activity,580620
351,World,OWID_WRL,2002,Smoking,6852641
352,World,OWID_WRL,2002,High fasting plasma glucose,4130702
353,World,OWID_WRL,2002,Air pollution,6593796
354,World,OWID_WRL,2002,High body-mass index,3148429
355,World,OWID_WRL,2002,Unsafe sanitation,1396229
356,World,OWID_WRL,2002,No access to handwashing facility,968065
357,World,OWID_WRL,2002,Drug use,397221
358,World,OWID_WRL,2002,Low bone mineral density,280434
359,World,OWID_WRL,2002,Vitamin A deficiency,126978
360,World,OWID_WRL,2002,Child stunting,533555
361,World,OWID_WRL,2002,Discontinued breastfeeding,18186
362,World,OWID_WRL,2002,Non-exclusive breastfeeding,325524
363,World,OWID_WRL,2002,Iron deficiency,64757
364,World,OWID_WRL,2003,Outdoor air pollution,3091592
365,World,OWID_WRL,2003,High systolic blood pressure,8379687
366,World,OWID_WRL,2003,Diet high in sodium,1524749
367,World,OWID_WRL,2003,Diet low in whole grains,1455590
368,World,OWID_WRL,2003,Alcohol use,2108453
369,World,OWID_WRL,2003,Diet low in fruits,942517
370,World,OWID_WRL,2003,Unsafe water source,1873268
371,World,OWID_WRL,2003,Secondhand smoke,1159365
372,World,OWID_WRL,2003,Low birth weight,2577469
373,World,OWID_WRL,2003,Child wasting,2151535
374,World,OWID_WRL,2003,Unsafe sex,1631506
375,World,OWID_WRL,2003,Diet low in nuts and seeds,496161
376,World,OWID_WRL,2003,Household air pollution from solid fuels,3631724
377,World,OWID_WRL,2003,Diet low in vegetables,452385
378,World,OWID_WRL,2003,Low physical activity,589603
379,World,OWID_WRL,2003,Smoking,6906395
380,World,OWID_WRL,2003,High fasting plasma glucose,4304177
381,World,OWID_WRL,2003,Air pollution,6588013
382,World,OWID_WRL,2003,High body-mass index,3246284
383,World,OWID_WRL,2003,Unsafe sanitation,1345287
384,World,OWID_WRL,2003,No access to handwashing facility,942330
385,World,OWID_WRL,2003,Drug use,401105
386,World,OWID_WRL,2003,Low bone mineral density,291242
387,World,OWID_WRL,2003,Vitamin A deficiency,116576
388,World,OWID_WRL,2003,Child stunting,503048
389,World,OWID_WRL,2003,Discontinued breastfeeding,17308
390,World,OWID_WRL,2003,Non-exclusive breastfeeding,313891
391,World,OWID_WRL,2003,Iron deficiency,62770
392,World,OWID_WRL,2004,Outdoor air pollution,3139873
393,World,OWID_WRL,2004,High systolic blood pressure,8399163
394,World,OWID_WRL,2004,Diet high in sodium,1539207
395,World,OWID_WRL,2004,Diet low in whole grains,1457699
396,World,OWID_WRL,2004,Alcohol use,2138328
397,World,OWID_WRL,2004,Diet low in fruits,937529
398,World,OWID_WRL,2004,Unsafe water source,1805631
399,World,OWID_WRL,2004,Secondhand smoke,1152008
400,World,OWID_WRL,2004,Low birth weight,2543991
401,World,OWID_WRL,2004,Child wasting,2056186
402,World,OWID_WRL,2004,Unsafe sex,1664813
403,World,OWID_WRL,2004,Diet low in nuts and seeds,492387
404,World,OWID_WRL,2004,Household air pollution from solid fuels,3539514
405,World,OWID_WRL,2004,Diet low in vegetables,444838
406,World,OWID_WRL,2004,Low physical activity,591308
407,World,OWID_WRL,2004,Smoking,6900363
408,World,OWID_WRL,2004,High fasting plasma glucose,4415124
409,World,OWID_WRL,2004,Air pollution,6541469
410,World,OWID_WRL,2004,High body-mass index,3297350
411,World,OWID_WRL,2004,Unsafe sanitation,1289973
412,World,OWID_WRL,2004,No access to handwashing facility,914206
413,World,OWID_WRL,2004,Drug use,405219
414,World,OWID_WRL,2004,Low bone mineral density,298770
415,World,OWID_WRL,2004,Vitamin A deficiency,106921
416,World,OWID_WRL,2004,Child stunting,474029
417,World,OWID_WRL,2004,Discontinued breastfeeding,16418
418,World,OWID_WRL,2004,Non-exclusive breastfeeding,302616
419,World,OWID_WRL,2004,Iron deficiency,61561
420,World,OWID_WRL,2005,Outdoor air pollution,3214652
421,World,OWID_WRL,2005,High systolic blood pressure,8549944
422,World,OWID_WRL,2005,Diet high in sodium,1556960
423,World,OWID_WRL,2005,Diet low in whole grains,1485085
424,World,OWID_WRL,2005,Alcohol use,2184611
425,World,OWID_WRL,2005,Diet low in fruits,946126
426,World,OWID_WRL,2005,Unsafe water source,1767662
427,World,OWID_WRL,2005,Secondhand smoke,1155248
428,World,OWID_WRL,2005,Low birth weight,2506095
429,World,OWID_WRL,2005,Child wasting,1968105
430,World,OWID_WRL,2005,Unsafe sex,1660755
431,World,OWID_WRL,2005,Diet low in nuts and seeds,502569
432,World,OWID_WRL,2005,Household air pollution from solid fuels,3479179
433,World,OWID_WRL,2005,Diet low in vegetables,447857
434,World,OWID_WRL,2005,Low physical activity,604191
435,World,OWID_WRL,2005,Smoking,6955588
436,World,OWID_WRL,2005,High fasting plasma glucose,4562010
437,World,OWID_WRL,2005,Air pollution,6556779
438,World,OWID_WRL,2005,High body-mass index,3394896
439,World,OWID_WRL,2005,Unsafe sanitation,1258381
440,World,OWID_WRL,2005,No access to handwashing facility,897688
441,World,OWID_WRL,2005,Drug use,416769
442,World,OWID_WRL,2005,Low bone mineral density,311016
443,World,OWID_WRL,2005,Vitamin A deficiency,95847
444,World,OWID_WRL,2005,Child stunting,445544
445,World,OWID_WRL,2005,Discontinued breastfeeding,15560
446,World,OWID_WRL,2005,Non-exclusive breastfeeding,291329
447,World,OWID_WRL,2005,Iron deficiency,61119
448,World,OWID_WRL,2006,Outdoor air pollution,3268686
449,World,OWID_WRL,2006,High systolic blood pressure,8575737
450,World,OWID_WRL,2006,Diet high in sodium,1546630
451,World,OWID_WRL,2006,Diet low in whole grains,1484696
452,World,OWID_WRL,2006,Alcohol use,2171666
453,World,OWID_WRL,2006,Diet low in fruits,938737
454,World,OWID_WRL,2006,Unsafe water source,1752216
455,World,OWID_WRL,2006,Secondhand smoke,1143362
456,World,OWID_WRL,2006,Low birth weight,2464693
457,World,OWID_WRL,2006,Child wasting,1885927
458,World,OWID_WRL,2006,Unsafe sex,1614674
459,World,OWID_WRL,2006,Diet low in nuts and seeds,501828
460,World,OWID_WRL,2006,Household air pollution from solid fuels,3400650
461,World,OWID_WRL,2006,Diet low in vegetables,449660
462,World,OWID_WRL,2006,Low physical activity,612110
463,World,OWID_WRL,2006,Smoking,6884440
464,World,OWID_WRL,2006,High fasting plasma glucose,4628394
465,World,OWID_WRL,2006,Air pollution,6528813
466,World,OWID_WRL,2006,High body-mass index,3435290
467,World,OWID_WRL,2006,Unsafe sanitation,1243439
468,World,OWID_WRL,2006,No access to handwashing facility,889971
469,World,OWID_WRL,2006,Drug use,417386
470,World,OWID_WRL,2006,Low bone mineral density,319114
471,World,OWID_WRL,2006,Vitamin A deficiency,83528
472,World,OWID_WRL,2006,Child stunting,413097
473,World,OWID_WRL,2006,Discontinued breastfeeding,14967
474,World,OWID_WRL,2006,Non-exclusive breastfeeding,281709
475,World,OWID_WRL,2006,Iron deficiency,59778
476,World,OWID_WRL,2007,Outdoor air pollution,3362663
477,World,OWID_WRL,2007,High systolic blood pressure,8679507
478,World,OWID_WRL,2007,Diet high in sodium,1555051
479,World,OWID_WRL,2007,Diet low in whole grains,1498942
480,World,OWID_WRL,2007,Alcohol use,2184676
481,World,OWID_WRL,2007,Diet low in fruits,938621
482,World,OWID_WRL,2007,Unsafe water source,1722904
483,World,OWID_WRL,2007,Secondhand smoke,1139416
484,World,OWID_WRL,2007,Low birth weight,2420395
485,World,OWID_WRL,2007,Child wasting,1801144
486,World,OWID_WRL,2007,Unsafe sex,1539272
487,World,OWID_WRL,2007,Diet low in nuts and seeds,506273
488,World,OWID_WRL,2007,Household air pollution from solid fuels,3312718
489,World,OWID_WRL,2007,Diet low in vegetables,452471
490,World,OWID_WRL,2007,Low physical activity,624275
491,World,OWID_WRL,2007,Smoking,6888848
492,World,OWID_WRL,2007,High fasting plasma glucose,4721782
493,World,OWID_WRL,2007,Air pollution,6527585
494,World,OWID_WRL,2007,High body-mass index,3509284
495,World,OWID_WRL,2007,Unsafe sanitation,1219401
496,World,OWID_WRL,2007,No access to handwashing facility,875744
497,World,OWID_WRL,2007,Drug use,419033
498,World,OWID_WRL,2007,Low bone mineral density,327731
499,World,OWID_WRL,2007,Vitamin A deficiency,74708
500,World,OWID_WRL,2007,Child stunting,384634
501,World,OWID_WRL,2007,Discontinued breastfeeding,14610
502,World,OWID_WRL,2007,Non-exclusive breastfeeding,270177
503,World,OWID_WRL,2007,Iron deficiency,57837
504,World,OWID_WRL,2008,Outdoor air pollution,3494083
505,World,OWID_WRL,2008,High systolic blood pressure,8873304
506,World,OWID_WRL,2008,Diet high in sodium,1585060
